subjects,Ospan_Score,Sspan_Score,Rspan_Score
15000,8,7,25
15001,25,6,25
15002,0,5,0
15003,3,5,4
15004,12,14,14
15005,7,10,9
15006,25,5,24
15007,25,9,14
15008,12,,19
15009,25,14,20
15010,18,10,4
15011,25,5,19
15012,22,7,19
15013,19,7,19
15014,13,3,24
15015,18,9,11
15016,18,5,26
15017,25,9,30
15018,19,2,25
15019,5,6,11
15020,7,7,24
15021,10,11,0
15022,25,2,19
15023,3,5,0
28210,18,0,20
28211,14,9,20
29212,12,5,30
28213,,2,9
28214,,2,
28215,13,5,18
28216,14,5,
28217,,,13
28218,,,24
28219,18,10,18
29220,7,14,18
29221,18,3,26
28222,0,5,10
28223,25,14,24
28224,12,5,19
28225,25,9,15
28226,8,9,9
29227,0,9,9
28228,18,2,15
28229,7,2,8
29230,18,5,19
28231,18,9,30
28232,18,9,24
29233,9,14,30
29234,9,5,14
28235,,6,
28236,25,14,30
28237,18,10,25
28238,12,2,14
29239,8,5,18
29240,3,2,4
28241,19,6,24
28242,16,5,19
28243,20,9,24
28244,16,9,24
29245,19,10,30
28246,12,14,13
28247,5,2,9
28248,19,11,18
28249,19,2,14
28250,12,6,25
29280,15,11,19
29281,18,5,30
28282,17,9,25
28283,7,9,26
28284,18,5,24
28303,18,0,18
29305,12,0,24
28306,25,0,30
28307,12,0,24
28310,18,0,19
29318,18,0,24
28326,21,0,30
28328,7,0,25
28302,18,0,14
28304,13,0,30
28308,18,0,24
28309,25,1,24
28311,18,0,19
28312,3,0,0
28313,25,0,30
28314,25,0,15
28315,18,,
28316,18,0,30
28317,3,0,24
28319,25,0,30
28320,3,0,13
28321,18,0,4
28322,13,0,14
28323,18,0,24
28324,25,0,30
28325,25,0,24
28327,6,0,20
28329,12,0,20
28330,3,0,13
28331,8,0,17