subjects,PSS_tot,PSS_choose,PSS_avoid,PSSnTrials,nback_total_acc
6200,0.766666667,0.8125,0.6875,60,0.6375
6201,0.7,0.625,0.5,120,0.8
6202,0.6,0.9375,1,60,0.8125
6204,0.683333333,0.5,0.8125,180,0.9875
6205,0.633333333,1,0.625,360,0.8875
6206,0.566666667,0.625,0.6875,180,0.8125
6207,0.833333333,0.625,0.9375,60,0.8875
6209,0.75,0.75,0.625,240,0.7875
6210,0.783333333,0.5,0.9375,60,0.875
6211,0.616666667,0.875,0.1875,60,0.825
6213,0.55,0.4375,0.5,300,0.9125
6214,0.383333333,0.3125,0.375,60,0.475
6215,0.75,0.9375,0.625,360,0.8125
6216,0.716666667,0.5,0.9375,360,0.575
6217,0.883333333,0.875,0.75,180,0.7875
6218,0.766666667,0.9375,0.6875,360,0.6125
6219,0.3,0.3125,0.0625,60,0.5875
6220,0.533333333,0.0625,0.875,120,0.875
6223,0.766666667,0.75,0.875,120,0.925
6225,0.716666667,0.5,0.625,120,0.9
6226,0.716666667,0.3125,0.8125,60,0.5875
6230,0.766666667,1,0.5625,300,0.775
6231,0.516666667,0.625,0.4375,120,0.8875
6234,0.55,0.3125,0.8125,60,0.8
6235,0.533333333,0.75,0.5625,360,0.6
6238,0.85,1,0.875,360,0.775
6241,0.633333333,0.875,0.3125,300,0.575
6242,0.733333333,0.6875,0.5,300,0.6375
6244,0.5,0.375,0.5625,360,0.7125
6245,0.816666667,0.75,0.75,120,0.8875
6246,0.85,0.6875,1,60,0.9
6247,0.633333333,0.875,0.75,360,0.5125
6250,0.983333333,1,1,360,0.5
6253,0.9,1,1,360,0.5625
6256,0.7,0.4375,0.8125,180,0.9625
28210,0.633333333,0.8125,0.4375,60,0.8875
28211,0.783333333,1,0.9375,60,0.825
29212,0.633333333,0.875,0.5,60,0.825
28213,0.833333333,0.6875,0.875,60,
28214,,,,,
28215,0.583333333,0.5625,0.625,60,0.75
28216,0.666666667,0.8125,0.5,60,0.65
28217,0.416666667,0.3125,0.5625,60,
28218,0.8,0.6875,1,60,
28219,0.833333333,1,0.5,60,0.9375
29220,0.716666667,0.9375,0.5625,60,0.9
29221,0.733333333,0.9375,0.5625,60,0.6125
28222,0.816666667,0.8125,0.9375,60,0.0875
28223,0.783333333,0.75,0.6875,60,0.8875
28224,0.75,0.5625,0.8125,60,0.85
28225,0.65,0.6875,1,60,0.9125
28226,0.666666667,0.625,0.4375,60,0.6875
29227,0.883333333,0.8125,0.9375,60,0.8125
28228,0.516666667,0.25,0.6875,60,0.9125
28229,0.716666667,0.8125,0.6875,60,0.9
29230,0.666666667,0.5,0.75,60,0.9
28231,0.866666667,0.8125,0.8125,60,0.8
28232,0.7,0.875,0.5625,60,0.9
29233,0.716666667,0.5,0.8125,60,0.65
29234,0.433333333,0.5625,0.5,60,0.575
28235,,,,,
28236,0.683333333,1,0.5625,60,0.975
28237,0.433333333,1,0,60,0.7625
28238,0.716666667,0.75,0.3125,60,0.725
29239,0.366666667,0.5625,0.125,60,0.6625
29240,0.766666667,0.9375,0.875,60,0.675
28241,0.7,0.5,0.9375,60,0.8375
28242,0.766666667,0.875,0.4375,60,0.825
28243,0.916666667,1,0.9375,60,0.95
28244,0.75,0.6875,0.75,60,0.5875
29245,0.733333333,0.5,0.625,60,0.95
28246,0.75,1,1,60,0.85
28247,0.716666667,0.8125,0.6875,60,0.8
28248,0.816666667,0.25,0.9375,60,0.9625
28249,0.716666667,0.875,1,60,0.9
28250,0.833333333,0.9375,0.875,60,0.8875
29280,0.716666667,0.75,0.75,60,0.8875
29281,0.85,0.9375,1,60,0.6625
28282,0.6,0.1875,0.8125,60,0.575
28283,0.6,0.5,0.5625,60,0.9625
28284,0.633333333,0.25,0.9375,60,0.7625
28303,0.816666667,0.875,0.75,60,0.9125
29305,0.616666667,0.5625,0.6875,60,0.8125
28306,0.933333333,1,1,60,0.9
28307,0.683333333,0.375,0.75,60,0.9
28310,0.666666667,0.25,0.9375,60,0.9
29318,0.466666667,0.25,0.25,60,0.8875
28326,0.8,0.8125,0.8125,60,0.8625
28328,0.766666667,0.8125,0.875,60,1
28302,0.7,0.6875,0.6875,60,0.8125
28304,0.716666667,0.9375,0.125,60,1
28308,0.733333333,0.5,0.75,60,0.8625
28309,0.566666667,1,0.5,60,0.7625
28311,0.866666667,0.9375,0.6875,60,0.8875
28312,0.6,0.3125,0.875,60,0.825
28313,0.65,0.8125,0.4375,60,0.8625
28314,0.716666667,0.5,0.6875,60,0.9
28315,,,,,0.8375
28316,0.95,1,0.9375,60,0.9375
28317,0.716666667,0.875,0.5625,60,0.675
28319,0.566666667,0.5625,0.75,60,0.925
28320,0.733333333,0.8125,0.6875,60,0.7625
28321,0.633333333,0.75,0.5,60,0.8125
28322,0.8,0.9375,0.8125,60,0.575
28323,0.766666667,0.625,0.875,60,0.875
28324,0.966666667,1,1,60,0.9125
28325,0.683333333,0.3125,1,60,0.8625
28327,0.483333333,0.375,0.3125,60,0.85
28329,0.733333333,0.75,0.5,60,0.8625
28330,0.7,0.9375,0.75,60,0.75
28331,0.75,0.5625,0.75,60,0.825