,0,1,2,3,4,5,6,7,8
0,"[0.98333333 0.98333333 0.99       0.99333333 0.99       1.
 0.99333333 0.99       1.         1.         1.         0.99666667]","[0.97833333 0.97833333 0.99666667 0.99333333 0.995      0.99666667
 0.99166667 0.99666667 0.99833333 1.         1.         0.99666667]","          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.1,0.05,0
1,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.2,0.05,0
2,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.3,0.05,0
3,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.4,0.05,0
4,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.5,0.05,0
5,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.1,0.1,0
6,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.2,0.1,0
7,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.3,0.1,0
8,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.4,0.1,0
9,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.5,0.1,0
10,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.1,0.15,0
11,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.2,0.15,0
12,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.3,0.15,0
13,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.4,0.15,0
14,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.5,0.15,0
15,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.1,0.2,0
16,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.2,0.2,0
17,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.3,0.2,0
18,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.4,0.2,0
19,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.5,0.2,0
20,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.1,0.25,0
21,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.2,0.25,0
22,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.3,0.25,0
23,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.4,0.25,0
24,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"          0
0  0.666667
1  0.333333
2  0.333333
3  0.333333","          0
0  0.666667
1  0.666667
2  0.666667
3  0.666667",0,0,0.5,0.25,0
