"subjects","Age","Sex","Notes","learn.python","Highest_Level_Complete","Hint_Use","Forum_Use","SolutionButton_Use","Help_Total","QuizACC_NoRetake","QuizACC_Retake","PT_Semantics_Raw","PT_Semantics_ACC","Old_Semantics_ACC","New_Semantics_ACC","PT_Syntax_Raw","PT_Syntax_ACC","Old_Syntax_ACC","New_Syntax_ACC","PostTest_Total_RAW","PostTest_Total_ACC","RPS.Code","Numeracy","MLAT.1","MLAT.2","MLAT.3","MLAT.4","MLAT.5","MLAT_Total","MLAT_.","LLAMA_B","LLAMA_D","LLAMA_E","LLAMA_F","NDV","NDV_.","Ravens","ChooseA.ACC","AvoidB.ACC","All.ACC","X.TrainTrails","Met.Criteria","X.TestTrials","Lag1_T2.T1","Lag2_T2.T1","Lag3_T2.T1","Lag8_T2.T1","Total.RT","Match.RT","NonMatch.RT","Distractor.RT","Total.ACC","Match.ACC","NonMatch.ACC","Distractor.ACC","Con.RT","Incon.RT","Incon.Con.RT","Con.ACC","Incon.ACC","Con.Incon.ACC","MathErrorTotal","AccErrorTotal","SpeedErrorTotal","OspanAbsoluteScore","OspanPartialScore","AccErrorTotal.1","ReadErrorTotal","RspanScore","RspanTotal","SpeedErrorTotal.1","SymmErrorTotal","AccErrorTotal.2","SpeedErrorTotal.2","SspanAbsoluteScore","SspanPartialScore","sEBR","O1_AlphaPeak_Closed","O1_CorrectPeak_Closed","O2_AlphaPeak_Closed","O2_CorrectPeak_Closed","s3.1.behav","s3.2.behav","s3.3.behav","s3.4.behav","s3.5.behav","s3.6.behav","s3.7.behav","s3.8.behav","s3.9.behav","s3.10.behav","s3.11.behav","s3.12.behav","s6.1.behav","s6.2.behav","s6.3.behav","s6.4.behav","s6.5.behav","s6.6.behav","s6.7.behav","s6.8.behav","s6.9.behav","s6.10.behav","s6.11.behav","s6.12.behav","s3.test.behav","s6.test.behav","model","s3.1.model","s3.2.model","s3.3.model","s3.4.model","s3.5.model","s3.6.model","s3.7.model","s3.8.model","s3.9.model","s3.10.model","s3.11.model","s3.12.model","s6.1.model","s6.2.model","s6.3.model","s6.4.model","s6.5.model","s6.6.model","s6.7.model","s6.8.model","s6.9.model","s6.10.model","s6.11.model","s6.12.model","bll","alpha","egs","imag","ans","bias","s3.test.model","s6.test.model","wmComposite","Rank","python.learning.coeff"
28303,19,"F","",1,9,32,23,15,70,0.698,0.698,18,0.72,0.789473684,0.5,16,0.64,0.727272727,0,34,0.68,25.33333333,NA,42,26,14,18,17,117,50,NA,NA,NA,NA,67,79,12,0.875,0.75,0.816666667,60,"",60,0.777777778,0.333333333,0.1875,0.888888889,954.6388889,786.9166667,1005.736842,1252.705882,0.9125,0.925,0.95,0.85,511.9090909,558.1333333,46.22424242,1,1,0,1,0,1,18,22,2,6,18,21,4,1,1,0,37,41,132,1,1,1,1,0.291666666666667,0.833333333333333,0.958333333333333,0.875,1,0.958333333333333,0.833333333333333,0.875,0.875,0.791666666666667,0.875,0.833333333333333,0.388888888888889,0.472222222222222,0.777777777777778,0.777777777777778,0.75,0.805555555555556,0.833333333333333,0.888888888888889,0.944444444444444,0.888888888888889,0.777777777777778,0.888888888888889,0.875,0.847222222222222,"LTM",0.2933333333,0.5366666667,0.6966666667,0.79,0.8466666667,0.8966666667,0.93,0.9566666667,0.9666666667,0.9833333333,0.99,0.9933333333,0.365,0.52,0.635,0.7316666667,0.785,0.835,0.8933333333,0.89,0.9316666667,0.94,0.95,0.96,0.7,NA,NA,0.1,0.1,NA,0.9166666667,0.9166666667,24.3333333333333,15,1.06493506493506
28306,19,"M","",1,13,16,5,1,22,1,1,24,0.96,0.96,0,21,0.84,0.84,0,45,0.9,46.66666667,NA,43,30,32,32,24,161,97,NA,NA,NA,NA,73,90,18,1,1,0.933333333,240,"",60,1,0.523809524,0.428571429,0.8,1556.760563,1352.794872,1654.631579,2025.615385,0.9,0.975,0.95,0.7,528.0444444,571.9333333,43.88888889,1,1,0,1,0,1,25,25,0,1,30,30,1,2,2,0,9,10,18,1,1,1,1,0.333333333333333,0.625,1,0.958333333333333,0.958333333333333,1,0.958333333333333,1,0.916666666666667,0.916666666666667,1,0.958333333333333,0.472222222222222,0.638888888888889,0.861111111111111,0.944444444444444,0.972222222222222,1,0.972222222222222,1,0.972222222222222,0.972222222222222,0.972222222222222,0.972222222222222,1,0.986111111111111,"LTM",0.3633333333,0.61,0.75,0.8333333333,0.89,0.9233333333,0.9533333333,0.9633333333,0.9666666667,0.9666666667,0.9766666667,0.9833333333,0.3366666667,0.5533333333,0.7283333333,0.825,0.8866666667,0.9316666667,0.95,0.9683333333,0.9783333333,0.9883333333,0.99,0.9983333333,0.4,NA,NA,0.4,0.3,NA,1,1,21.3333333333333,37,1.48311688311688
28307,23,"F","",1,11,28,31,1,60,0.856,0.856,17,0.68,0.681818182,0.666666667,19,0.76,0.826086957,0,36,0.72,27.33333333,0.75,42,27,10,24,24,127,65,NA,NA,NA,NA,72,88,15,0.375,0.75,0.683333333,60,"",60,0.75,0.571428571,0.636363636,0.909090909,965.8309859,833.7058824,1032.052632,1145.5,0.9,0.875,0.95,0.9,509.5555556,554.6153846,45.05982906,1,0.933333333,0.066666667,2,1,1,12,22,2,3,24,29,1,0,0,0,5,11,121,1,1,1,1,0.333333333333333,0.666666666666667,0.875,0.833333333333333,1,1,1,0.958333333333333,0.958333333333333,0.916666666666667,0.958333333333333,0.916666666666667,0.722222222222222,0.805555555555556,0.916666666666667,1,0.861111111111111,0.944444444444444,0.972222222222222,0.916666666666667,1,0.944444444444444,0.972222222222222,0.944444444444444,0.652777777777778,0.819444444444444,"LTM",0.36,0.5766666667,0.71,0.8,0.8566666667,0.8933333333,0.9266666667,0.9633333333,0.97,0.9866666667,0.9866666667,0.9933333333,0.355,0.58,0.715,0.8133333333,0.865,0.9,0.9316666667,0.9566666667,0.9766666667,0.985,0.9883333333,0.995,0.6,NA,NA,0.2,0.3,NA,0.75,0.9166666667,13.6666666666667,28,1.37402597402597
28308,24,"M","",0,11,17,16,8,41,0.89,0.89,17,0.68,0.772727273,0,20,0.8,0.826086957,0.5,37,0.74,36.33333333,0.875,40,29,30,32,24,155,97,NA,NA,NA,NA,76,95,14,0.5,0.75,0.733333333,60,"",60,0.875,0.388888889,0.454545455,0.916666667,1090.073529,1064.833333,1029.1,1267.416667,0.8625,0.9,1,0.65,NA,NA,NA,NA,NA,NA,0,0,0,18,21,3,3,24,26,0,1,1,0,5,10,30,1,1,1,1,0.333333333333333,0.541666666666667,0.833333333333333,0.875,0.916666666666667,1,1,0.958333333333333,0.958333333333333,1,1,1,0.305555555555556,0.555555555555556,0.777777777777778,0.777777777777778,0.888888888888889,0.861111111111111,0.972222222222222,1,1,1,0.972222222222222,1,0.986111111111111,0.958333333333333,"LTM",0.37,0.5566666667,0.7466666667,0.83,0.8766666667,0.9266666667,0.9433333333,0.9666666667,0.9766666667,0.9866666667,0.99,0.9933333333,0.34,0.5666666667,0.72,0.8066666667,0.8633333333,0.905,0.9383333333,0.9683333333,0.9816666667,0.9866666667,0.9933333333,0.9983333333,0.3,NA,NA,0.3,0.2,NA,1,1,15.6666666666667,29,1.26753246753247
28309,20,"M","",0,7,15,8,5,28,0.7375,0.7375,13,0.52,0.666666667,0.3,10,0.4,0.461538462,0.333333333,23,0.46,0.333333333,NA,21,24,19,19,20,103,30,NA,NA,NA,NA,65,74,7,1,0.5,0.566666667,360,"NO",60,0.823529412,0.761904762,0.863636364,0.916666667,1891.967213,1742.833333,1744.75,2566.363636,0.7625,0.75,1,0.55,603.8571429,540.2666667,-63.59047619,1,1,0,1,1,0,25,25,1,2,24,29,1,1,0,1,5,7,32,1,1,1,1,0.333333333333333,0.583333333333333,0.791666666666667,1,0.916666666666667,0.958333333333333,0.916666666666667,1,0.875,0.958333333333333,0.958333333333333,0.916666666666667,0.444444444444444,0.583333333333333,0.638888888888889,0.611111111111111,0.75,0.777777777777778,0.777777777777778,0.805555555555556,0.861111111111111,0.861111111111111,0.861111111111111,0.916666666666667,0.833333333333333,0.791666666666667,"LTM",0.3966666667,0.61,0.73,0.8333333333,0.86,0.8866666667,0.9333333333,0.97,0.97,0.9733333333,0.9733333333,0.98,0.3416666667,0.5333333333,0.5933333333,0.66,0.7416666667,0.8066666667,0.8516666667,0.8983333333,0.9116666667,0.9266666667,0.9433333333,0.9433333333,0.7,NA,NA,0.1,0.5,NA,0.8333333333,0.75,18,6,0.812987012987013
28325,19,"M","",0,11,22,17,11,50,0.74,0.74,17,0.68,0.772727273,0,17,0.68,0.739130435,0,34,0.68,32.66666667,1,39,30,18,22,19,128,65,NA,NA,NA,80,71,86,11,0.3125,1,0.683333333,60,"",60,0.95,0.473684211,0.583333333,0.85,769.9852941,697.9117647,840.1,844.8571429,0.8625,0.85,1,0.75,400.8666667,425.8,24.93333333,1,1,0,1,1,0,25,25,1,1,24,26,0,0,0,0,14,14,19,1,1,1,1,0.375,0.666666666666667,0.916666666666667,0.958333333333333,0.958333333333333,1,0.958333333333333,1,1,1,1,0.958333333333333,0.333333333333333,0.472222222222222,0.555555555555556,0.694444444444444,0.722222222222222,0.805555555555556,0.805555555555556,0.861111111111111,0.888888888888889,0.888888888888889,0.944444444444444,0.944444444444444,0.652777777777778,0.826388888888889,"biased",0.3933333333,0.6,0.7966666667,0.72,0.8733333333,0.7266666667,0.9533333333,0.9666666667,0.77,0.99,1,1,0.2983333333,0.5,0.55,0.575,0.6866666667,0.73,0.675,0.8316666667,0.7516666667,0.7766666667,0.9466666667,0.8666666667,0.6,0.15,0.4,0.4,0.5,20,0.6666666667,0.8333333333,21,31,1.3038961038961
28326,21,"M","",1,10,29,20,15,64,0.848,0.848,17,0.68,0.727272727,0.333333333,23,0.92,0.913043478,1,40,0.8,26,0.75,39,27,19,13,4,102,30,NA,NA,NA,50,67,79,13,0.8125,0.8125,0.8,180,"",60,1,1,0.958333333,0.916666667,571.5882353,523.7878788,573.0526316,668.4375,0.8625,0.825,1,0.8,418.3409091,471,52.65909091,1,1,0,0,0,0,21,24,0,0,30,30,0,0,0,0,9,11,31,1,1,1,1,0.416666666666667,0.625,0.875,0.916666666666667,0.875,0.958333333333333,0.958333333333333,1,1,0.958333333333333,0.875,0.958333333333333,0.5,0.555555555555556,0.777777777777778,0.861111111111111,0.861111111111111,0.861111111111111,0.944444444444444,0.944444444444444,0.916666666666667,0.888888888888889,0.916666666666667,0.972222222222222,0.986111111111111,0.9375,"LTM",0.3566666667,0.5866666667,0.7366666667,0.8233333333,0.9,0.9333333333,0.9533333333,0.9666666667,0.9666666667,0.98,0.9866666667,0.9866666667,0.34,0.5516666667,0.695,0.7983333333,0.8583333333,0.9033333333,0.9316666667,0.9616666667,0.9733333333,0.9833333333,0.985,0.99,0.7,NA,NA,0.2,0.4,NA,1,0.9166666667,20,22,1.21038961038961
28327,20,"F","",0,11,24,14,26,64,0.79,0.79,18,0.72,0.818181818,0,20,0.8,0.826086957,0.5,38,0.76,33.33333333,0.75,41,28,20,20,9,118,50,NA,NA,NA,40,73,90,14,0.375,0.3125,0.483333333,360,"NO",60,0.916666667,0.666666667,0.636363636,0.863636364,781.4117647,659.53125,832.4,961.4375,0.85,0.8,1,0.8,479.7045455,482.8666667,3.162121212,1,1,0,2,2,0,6,12,0,0,20,24,0,0,0,0,5,10,11,1,1,1,1,0.375,0.666666666666667,0.833333333333333,1,1,0.916666666666667,0.958333333333333,0.958333333333333,1,1,0.916666666666667,0.916666666666667,0.222222222222222,0.472222222222222,0.694444444444444,0.777777777777778,0.833333333333333,0.75,0.916666666666667,0.722222222222222,0.944444444444444,0.972222222222222,0.972222222222222,0.916666666666667,0.930555555555556,0.819444444444444,"LTM",0.3166666667,0.5366666667,0.6466666667,0.7633333333,0.8366666667,0.91,0.9266666667,0.97,0.98,0.98,0.98,0.98,0.305,0.4783333333,0.5333333333,0.6866666667,0.765,0.825,0.8633333333,0.9083333333,0.9216666667,0.9433333333,0.9566666667,0.9633333333,0.6,NA,NA,0.1,0.4,NA,0.9166666667,0.75,10.3333333333333,32,1.23896103896104
28328,20,"F","",1,12,7,6,3,16,0.924,0.924,20,0.8,0.8,0,23,0.92,0.92,0,43,0.86,40,1,36,27,20,21,24,128,65,NA,NA,NA,70,64,71,16,0.8125,0.875,0.766666667,60,"",60,1,0.523809524,0.5,0.739130435,822.8987342,729.875,822.55,1019.105263,1,1,1,1,533.7045455,608.6428571,74.93831169,1,0.933333333,0.066666667,1,1,0,7,19,0,1,25,29,1,0,0,0,11,12,NA,1,1,1,1,0.291666666666667,0.625,0.958333333333333,1,1,1,1,0.958333333333333,0.958333333333333,1,1,1,0.527777777777778,0.666666666666667,0.861111111111111,0.972222222222222,0.916666666666667,1,0.916666666666667,0.916666666666667,1,0.916666666666667,0.944444444444444,1,0.986111111111111,0.965277777777778,"LTM",0.3633333333,0.61,0.75,0.8333333333,0.89,0.9233333333,0.9533333333,0.9633333333,0.9666666667,0.9666666667,0.9766666667,0.9833333333,0.3366666667,0.5533333333,0.7283333333,0.825,0.8866666667,0.9316666667,0.95,0.9683333333,0.9783333333,0.9883333333,0.99,0.9983333333,0.4,NA,NA,0.4,0.3,NA,1,1,14.3333333333333,36,1.41558441558442
28329,22,"M","",0,11,14,12,8,34,0.974,0.974,22,0.88,0.909090909,0.666666667,22,0.88,0.913043478,0.5,44,0.88,35.66666667,1,34,30,17,17,19,117,50,NA,NA,NA,30,73,90,13,0.75,0.5,0.733333333,60,"",60,0.611111111,0.3,0.5,0.863636364,703.8787879,606.5,726.15,858.625,0.8625,0.8,1,0.85,443.1555556,538.3571429,95.2015873,1,1,0,2,1,1,12,13,0,0,20,28,0,2,2,0,2,6,NA,0,0,0,0,0.333333333333333,0.666666666666667,0.791666666666667,0.958333333333333,0.958333333333333,0.916666666666667,0.958333333333333,0.958333333333333,1,0.833333333333333,0.958333333333333,0.833333333333333,0.361111111111111,0.638888888888889,0.777777777777778,0.75,0.777777777777778,0.916666666666667,0.916666666666667,0.888888888888889,0.972222222222222,0.944444444444444,0.972222222222222,0.944444444444444,0.75,0.895833333333333,"LTM",0.36,0.5766666667,0.71,0.8,0.8566666667,0.8933333333,0.9266666667,0.9633333333,0.97,0.9866666667,0.9866666667,0.9933333333,0.355,0.58,0.715,0.8133333333,0.865,0.9,0.9316666667,0.9566666667,0.9766666667,0.985,0.9883333333,0.995,0.6,NA,NA,0.2,0.3,NA,0.75,0.9166666667,11.3333333333333,33,1.29350649350649
28330,20,"F","",0,8,16,11,7,34,0.715,0.8825,15,0.6,0.684210526,0.333333333,15,0.6,0.681818182,0,30,0.6,17.33333333,0.625,33,25,15,18,12,103,30,NA,NA,NA,30,61,63,12,0.9375,0.75,0.7,360,"YES",60,1,0.909090909,0.555555556,0.909090909,1533.966667,1660.290323,1300.684211,1585.6,0.75,0.775,0.95,0.5,613.75,574.4,-39.35,1,1,0,3,1,2,3,18,0,0,13,23,0,0,0,0,5,12,83,1,1,1,1,0.291666666666667,0.583333333333333,0.666666666666667,0.625,0.916666666666667,0.875,0.916666666666667,0.916666666666667,0.833333333333333,0.875,0.875,0.875,0.444444444444444,0.611111111111111,0.777777777777778,0.861111111111111,0.888888888888889,0.861111111111111,0.944444444444444,0.833333333333333,0.888888888888889,0.972222222222222,0.944444444444444,0.805555555555556,0.888888888888889,0.923611111111111,"LTM",0.2933333333,0.5366666667,0.6966666667,0.79,0.8466666667,0.8966666667,0.93,0.9566666667,0.9666666667,0.9833333333,0.99,0.9933333333,0.365,0.52,0.635,0.7316666667,0.785,0.835,0.8933333333,0.89,0.9316666667,0.94,0.95,0.96,0.7,NA,NA,0.1,0.1,NA,0.9166666667,0.9166666667,7,10,0.94025974025974
28331,20,"F","",0,8,19,4,4,27,0.8625,0.8625,17,0.68,0.736842105,0.5,18,0.72,0.772727273,0.333333333,35,0.7,19.33333333,0.75,32,21,16,15,22,106,35,NA,NA,NA,80,56,48,11,0.5625,0.75,0.75,300,"",60,0.857142857,0.133333333,0.076923077,0.571428571,966.9375,903.2580645,950,1130.928571,0.825,0.825,0.95,0.7,343.097561,435.125,92.02743902,0.911111111,0.533333333,0.377777778,1,1,0,8,18,0,1,17,22,1,0,0,0,10,11,59,1,1,1,1,0.291666666666667,0.458333333333333,0.791666666666667,0.916666666666667,0.958333333333333,0.958333333333333,0.958333333333333,0.875,1,0.916666666666667,0.958333333333333,1,0.416666666666667,0.5,0.694444444444444,0.694444444444444,0.805555555555556,0.777777777777778,0.833333333333333,0.833333333333333,0.805555555555556,0.861111111111111,0.888888888888889,0.833333333333333,0.791666666666667,0.784722222222222,"LTM",0.3966666667,0.61,0.73,0.8333333333,0.86,0.8866666667,0.9333333333,0.97,0.97,0.9733333333,0.9733333333,0.98,0.3416666667,0.5333333333,0.5933333333,0.66,0.7416666667,0.8066666667,0.8516666667,0.8983333333,0.9116666667,0.9266666667,0.9433333333,0.9433333333,0.7,NA,NA,0.1,0.5,NA,0.8333333333,0.75,11.6666666666667,11,0.932467532467532
29220,20,"M","OLCTS Subject",2,10,23,6,12,41,0.685,0.7675,19,0.76,0.8,0.6,20,0.8,0.909090909,0,39,0.78,35.33333333,0.875,38,25,22,18,22,125,60,85,20,100,60,70,85,11,0.9375,0.5625,0.716666667,60,"",60,0.818181818,0.761904762,0.5,0.421052632,651.7391304,525.6764706,801.45,737.8666667,0.9,0.9,1,0.8,517.627907,567.7142857,50.08637874,0.955555556,1,-0.044444444,1,1,0,7,15,0,2,18,24,2,1,1,0,14,14,68,0,0,1,1,0.333333333333333,0.666666666666667,0.916666666666667,0.916666666666667,1,0.958333333333333,0.958333333333333,0.916666666666667,1,0.916666666666667,1,0.916666666666667,0.361111111111111,0.694444444444444,0.75,0.861111111111111,0.805555555555556,0.888888888888889,0.888888888888889,0.888888888888889,0.861111111111111,0.888888888888889,0.916666666666667,0.805555555555556,0.763888888888889,0.798611111111111,"LTM",0.3966666667,0.61,0.73,0.8333333333,0.86,0.8866666667,0.9333333333,0.97,0.97,0.9733333333,0.9733333333,0.98,0.3416666667,0.5333333333,0.5933333333,0.66,0.7416666667,0.8066666667,0.8516666667,0.8983333333,0.9116666667,0.9266666667,0.9433333333,0.9433333333,0.7,NA,NA,0.1,0.5,NA,0.8333333333,0.75,13,24,1.1974025974026
29221,35,"M","OLCTS Subject",2,10,31,31,31,93,0.722,0.722,18,0.72,0.75,0.6,16,0.64,0.681818182,0.333333333,36.07,0.7214,25,0.375,31,26,27,24,16,124,60,60,20,90,20,75,93,8,0.9375,0.5625,0.733333333,180,"",60,0.625,0.476190476,0.652173913,0.833333333,767.0833333,761.6,718.6470588,823.6875,0.6125,0.375,0.9,0.8,585.8636364,608,22.13636364,1,0.933333333,0.066666667,2,1,1,18,22,1,1,26,29,0,2,2,0,3,7,41,1,1,1,1,0.166666666666667,0.458333333333333,0.75,0.708333333333333,0.75,0.791666666666667,0.958333333333333,0.833333333333333,0.916666666666667,0.916666666666667,0.875,0.916666666666667,0.333333333333333,0.388888888888889,0.638888888888889,0.527777777777778,0.555555555555556,0.611111111111111,0.5,0.555555555555556,0.444444444444444,0.555555555555556,0.722222222222222,0.611111111111111,0.597222222222222,0.555555555555556,"biased",0.33,0.5933333333,0.7466666667,0.8266666667,0.9066666667,0.78,0.9366666667,0.95,0.9633333333,0.97,0.98,0.9933333333,0.29,0.3566666667,0.4616666667,0.4666666667,0.4666666667,0.4533333333,0.54,0.625,0.675,0.7016666667,0.6333333333,0.6216666667,0.6,0.2,0.5,0.1,0.1,20,0.5833333333,0.5,15.6666666666667,25,1.2
29227,24,"F","OLCTS Subject",2,9,12,17,5,34,0.61,0.82,17,0.68,0.789473684,0.333333333,20,0.8,0.863636364,0.333333333,37,0.74,34,0.625,28,24,6,16,16,90,20,45,55,100,60,68,81,12,0.8125,0.9375,0.883333333,180,"",60,0.947368421,0.904761905,0.916666667,0.958333333,1248.4,1177.6,1061,1639.866667,0.8125,0.75,1,0.75,429.1555556,464.2,35.04444444,1,1,0,2,2,0,0,6,2,3,9,18,1,0,0,0,9,10,31,1,1,1,1,0.583333333333333,0.833333333333333,0.916666666666667,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0.958333333333333,1,0.916666666666667,1,0.916666666666667,0.305555555555556,0.694444444444444,0.694444444444444,0.833333333333333,0.777777777777778,0.805555555555556,0.861111111111111,0.916666666666667,0.972222222222222,0.972222222222222,0.972222222222222,0.944444444444444,0.958333333333333,0.819444444444444,"LTM",0.3566666667,0.5866666667,0.7366666667,0.8233333333,0.9,0.9333333333,0.9533333333,0.9666666667,0.9666666667,0.98,0.9866666667,0.9866666667,0.34,0.5516666667,0.695,0.7983333333,0.8583333333,0.9033333333,0.9316666667,0.9616666667,0.9733333333,0.9833333333,0.985,0.99,0.7,NA,NA,0.2,0.4,NA,1,0.9166666667,6,16,1.08571428571429
29239,20,"M","OLCTS Subject",2,5,26,15,16,57,0.61,0.61,15,0.6,0.818181818,0.428571429,13,0.52,0.545454545,0.5,28,0.56,21.33333333,0.875,39,23,14,15,12,103,30,45,0,100,10,59,57,8,0.5625,0.125,0.366666667,360,"",60,1,0.416666667,0,0.692307692,980.3921569,967.6521739,905.2941176,1123.090909,0.6625,0.575,0.9,0.6,556.1777778,599.0714286,42.89365079,1,0.933333333,0.066666667,2,2,0,8,16,1,2,18,24,1,3,3,0,5,9,106,1,1,1,1,0.25,0.291666666666667,0.458333333333333,0.583333333333333,0.666666666666667,0.583333333333333,0.666666666666667,0.875,0.833333333333333,0.833333333333333,0.833333333333333,0.791666666666667,0.444444444444444,0.416666666666667,0.805555555555556,0.777777777777778,0.805555555555556,0.833333333333333,0.75,1,0.944444444444444,0.916666666666667,0.888888888888889,0.861111111111111,0.791666666666667,0.8125,"meta_RL",0.2333333333,0.3366666667,0.47,0.5,0.5633333333,0.6466666667,0.67,0.7966666667,0.7566666667,0.81,0.8033333333,0.84,0.3283333333,0.4983333333,0.5833333333,0.6666666667,0.69,0.7783333333,0.8366666667,0.8683333333,0.8716666667,0.8983333333,0.905,0.9283333333,0.3,0.1,0.4,0.4,0.4,NA,0.8333333333,0.8333333333,10.3333333333333,4,0.664935064935065
29240,20,"F","OLCTS Subject",2,8,35,19,18,72,0.8325,0.8325,19,0.76,0.789473684,0.666666667,14,0.56,0.545454545,0.666666667,35.21614035,0.704322807,13.33333333,0.625,35,20,7,14,17,93,20,70,25,100,0,72,88,8,0.9375,0.875,0.766666667,180,"",60,0.933333333,0.733333333,0.666666667,0.8,1263.653846,1347.517241,969.6111111,1835.8,0.675,0.725,0.9,0.35,433.6444444,540.1666667,106.5222222,1,0.866666667,0.133333333,3,3,0,3,5,3,3,4,15,0,0,0,0,2,8,NA,1,1,2,2,0.25,0.541666666666667,0.708333333333333,0.833333333333333,0.875,0.916666666666667,0.875,1,0.958333333333333,0.916666666666667,0.833333333333333,1,0.583333333333333,0.527777777777778,0.666666666666667,0.777777777777778,0.777777777777778,0.75,0.777777777777778,0.805555555555556,0.861111111111111,0.944444444444444,0.777777777777778,0.888888888888889,0.833333333333333,0.805555555555556,"LTM",0.3966666667,0.61,0.73,0.8333333333,0.86,0.8866666667,0.9333333333,0.97,0.97,0.9733333333,0.9733333333,0.98,0.3416666667,0.5333333333,0.5933333333,0.66,0.7416666667,0.8066666667,0.8516666667,0.8983333333,0.9116666667,0.9266666667,0.9433333333,0.9433333333,0.7,NA,NA,0.1,0.5,NA,0.8333333333,0.75,3,13,0.898701298701299
29245,20,"F","OLCTS Subject",2,11,18,17,10,45,0.764,0.764,18,0.72,0.818181818,0,18,0.72,0.739130435,0.5,37.53818182,0.750763636,34.66666667,0.875,43,27,19,26,21,136,75,95,50,100,80,64,71,16,0.5,0.625,0.733333333,60,"",60,1,0.791666667,0.869565217,1,745.0266667,656.7631579,718.6842105,959.1666667,0.95,0.95,1,0.9,522.9555556,562.4,39.44444444,1,1,0,2,2,0,19,20,1,1,30,30,0,0,0,0,10,13,NA,1,1,1,1,0.416666666666667,0.541666666666667,0.833333333333333,1,0.916666666666667,0.875,1,0.833333333333333,0.958333333333333,0.875,0.958333333333333,0.958333333333333,0.472222222222222,0.722222222222222,0.805555555555556,0.805555555555556,0.916666666666667,0.888888888888889,1,0.972222222222222,0.972222222222222,1,0.972222222222222,1,0.930555555555556,0.902777777777778,"LTM",0.3633333333,0.5733333333,0.7133333333,0.81,0.86,0.8966666667,0.95,0.9633333333,0.9733333333,0.98,0.9866666667,0.9966666667,0.3183333333,0.5116666667,0.665,0.755,0.8433333333,0.905,0.9366666667,0.955,0.9733333333,0.985,0.9916666667,0.9933333333,0.7,NA,NA,0.2,0.3,NA,0.9166666667,0.9166666667,19.6666666666667,35,1.35064935064935
